display_name,family,style,font_type,serif_class,japanese_class,weight,latex_name,latex_cmd,is_japanese,note,file_path
BIZ UDMincho Medium,BIZ UDMincho,Medium,TrueType Collection (TTC),セリフ体（Serif）,明朝体,Book（ブック）,BIZ UDMincho,\setmainjfont{BIZ UDMincho},✓,"TTC（コレクション） / 別名: BIZ UD明朝, BIZ UDMincho Medium, BIZ UD明朝 Medium, 䉉娠啄难銩",C:/WINDOWS/fonts/BIZ-UDMinchoM.ttc
BIZ UDMincho,BIZ UDMincho,Regular,TrueType (TTF),セリフ体（Serif）,明朝体,Light（細）,BIZ UDMincho,\setmainjfont{BIZ UDMincho},✓,別名: BIZ UD明朝,C:/WINDOWS/fonts/BIZUDMincho-Regular.ttf
BIZ UDPMincho Medium,BIZ UDPMincho,Medium,TrueType Collection (TTC),セリフ体（Serif）,明朝体,Book（ブック）,BIZ UDPMincho,\setmainjfont{BIZ UDPMincho},✓,"TTC（コレクション） / 別名: BIZ UDP明朝, BIZ UDPMincho Medium, BIZ UDP明朝 Medium, 䉉娠啄傖뺒ꤠ䵥摩畭",C:/WINDOWS/fonts/BIZ-UDMinchoM.ttc
BIZ UDPMincho,BIZ UDPMincho,Regular,TrueType (TTF),セリフ体（Serif）,明朝体,Light（細）,BIZ UDPMincho,\setmainjfont{BIZ UDPMincho},✓,別名: BIZ UDP明朝,C:/WINDOWS/fonts/BIZUDPMincho-Regular_0.ttf
BIZ UDPMincho,BIZ UDPMincho,Regular,TrueType (TTF),セリフ体（Serif）,明朝体,Light（細）,BIZ UDPMincho,\setmainjfont{BIZ UDPMincho},✓,,C:/WINDOWS/fonts/BIZUDPMincho-Regular.ttf
Corporate Mincho ver2 Medium,Corporate Mincho ver2,Medium,OpenType (OTF),セリフ体（Serif）,明朝体,Book（ブック）,Corporate Mincho ver2,\setmainjfont{Corporate Mincho ver2},✓,"別名: コーポレート明朝 ver2, コーポレート明朝 ver2 Medium, ________ ver2 Medium",C:/WINDOWS/fonts/Corporate-Mincho-ver2.otf
GenEi Chikugo Mincho v3,GenEi Chikugo Mincho v3,Regular,TrueType (TTF),セリフ体（Serif）,明朝体,Light（細）,GenEi Chikugo Mincho v3,\setmainjfont{GenEi Chikugo Mincho v3},✓,別名: 源暎ちくご明朝 v3,C:/WINDOWS/fonts/GenEiChikugoMin3-R.ttf
GenEi Koburi Mincho v6,GenEi Koburi Mincho v6,Regular,TrueType (TTF),セリフ体（Serif）,明朝体,Light（細）,GenEi Koburi Mincho v6,\setmainjfont{GenEi Koburi Mincho v6},✓,別名: 源暎こぶり明朝 v6,C:/WINDOWS/fonts/GenEiKoburiMin6-R.ttf
Harano Aji Mincho Bold,Harano Aji Mincho,Bold,OpenType (OTF),セリフ体（Serif）,明朝体,Black（極太）,Harano Aji Mincho,\setmainjfont{Harano Aji Mincho},✓,別名: 原ノ味明朝,C:/texlive/2026/texmf-dist/fonts/opentype/public/haranoaji/HaranoAjiMincho-Bold.otf
Harano Aji Mincho Bold,Harano Aji Mincho,Bold,OpenType (OTF),セリフ体（Serif）,明朝体,Black（極太）,Harano Aji Mincho,\setmainjfont{Harano Aji Mincho},✓,別名: 原ノ味明朝,C:/WINDOWS/fonts/HaranoAjiMincho-Bold.otf
Harano Aji Mincho ExtraLight,Harano Aji Mincho,ExtraLight,OpenType (OTF),セリフ体（Serif）,明朝体,Thin（極細）,Harano Aji Mincho,\setmainjfont{Harano Aji Mincho},✓,"別名: 原ノ味明朝, Harano Aji Mincho ExtraLight, 原ノ味明朝 ExtraLight",C:/WINDOWS/fonts/HaranoAjiMincho-ExtraLight.otf
Harano Aji Mincho ExtraLight,Harano Aji Mincho,ExtraLight,OpenType (OTF),セリフ体（Serif）,明朝体,Thin（極細）,Harano Aji Mincho,\setmainjfont{Harano Aji Mincho},✓,"別名: 原ノ味明朝, Harano Aji Mincho ExtraLight, 原ノ味明朝 ExtraLight",C:/texlive/2026/texmf-dist/fonts/opentype/public/haranoaji-extra/HaranoAjiMincho-ExtraLight.otf
Harano Aji Mincho Heavy,Harano Aji Mincho,Heavy,OpenType (OTF),セリフ体（Serif）,明朝体,Black（極太）,Harano Aji Mincho,\setmainjfont{Harano Aji Mincho},✓,"別名: 原ノ味明朝, Harano Aji Mincho Heavy, 原ノ味明朝 Heavy",C:/texlive/2026/texmf-dist/fonts/opentype/public/haranoaji-extra/HaranoAjiMincho-Heavy.otf
Harano Aji Mincho Heavy,Harano Aji Mincho,Heavy,OpenType (OTF),セリフ体（Serif）,明朝体,Black（極太）,Harano Aji Mincho,\setmainjfont{Harano Aji Mincho},✓,"別名: 原ノ味明朝, Harano Aji Mincho Heavy, 原ノ味明朝 Heavy",C:/WINDOWS/fonts/HaranoAjiMincho-Heavy.otf
Harano Aji Mincho Light,Harano Aji Mincho,Light,OpenType (OTF),セリフ体（Serif）,明朝体,ExtraLight（超細）,Harano Aji Mincho,\setmainjfont{Harano Aji Mincho},✓,"別名: 原ノ味明朝, Harano Aji Mincho Light, 原ノ味明朝 Light",C:/texlive/2026/texmf-dist/fonts/opentype/public/haranoaji/HaranoAjiMincho-Light.otf
Harano Aji Mincho Light,Harano Aji Mincho,Light,OpenType (OTF),セリフ体（Serif）,明朝体,ExtraLight（超細）,Harano Aji Mincho,\setmainjfont{Harano Aji Mincho},✓,"別名: 原ノ味明朝, Harano Aji Mincho Light, 原ノ味明朝 Light",C:/WINDOWS/fonts/HaranoAjiMincho-Light.otf
Harano Aji Mincho Medium,Harano Aji Mincho,Medium,OpenType (OTF),セリフ体（Serif）,明朝体,Book（ブック）,Harano Aji Mincho,\setmainjfont{Harano Aji Mincho},✓,"別名: 原ノ味明朝, Harano Aji Mincho Medium, 原ノ味明朝 Medium",C:/texlive/2026/texmf-dist/fonts/opentype/public/haranoaji-extra/HaranoAjiMincho-Medium.otf
Harano Aji Mincho Medium,Harano Aji Mincho,Medium,OpenType (OTF),セリフ体（Serif）,明朝体,Book（ブック）,Harano Aji Mincho,\setmainjfont{Harano Aji Mincho},✓,"別名: 原ノ味明朝, Harano Aji Mincho Medium, 原ノ味明朝 Medium",C:/WINDOWS/fonts/HaranoAjiMincho-Medium.otf
Harano Aji Mincho,Harano Aji Mincho,Regular,OpenType (OTF),セリフ体（Serif）,明朝体,Light（細）,Harano Aji Mincho,\setmainjfont{Harano Aji Mincho},✓,別名: 原ノ味明朝,C:/WINDOWS/fonts/HaranoAjiMincho-Regular.otf
Harano Aji Mincho,Harano Aji Mincho,Regular,OpenType (OTF),セリフ体（Serif）,明朝体,Light（細）,Harano Aji Mincho,\setmainjfont{Harano Aji Mincho},✓,別名: 原ノ味明朝,C:/texlive/2026/texmf-dist/fonts/opentype/public/haranoaji/HaranoAjiMincho-Regular.otf
Harano Aji Mincho SemiBold,Harano Aji Mincho,SemiBold,OpenType (OTF),セリフ体（Serif）,明朝体,ExtraBold（超太）,Harano Aji Mincho,\setmainjfont{Harano Aji Mincho},✓,"別名: 原ノ味明朝, Harano Aji Mincho SemiBold, 原ノ味明朝 SemiBold",C:/texlive/2026/texmf-dist/fonts/opentype/public/haranoaji-extra/HaranoAjiMincho-SemiBold.otf
Harano Aji Mincho SemiBold,Harano Aji Mincho,SemiBold,OpenType (OTF),セリフ体（Serif）,明朝体,ExtraBold（超太）,Harano Aji Mincho,\setmainjfont{Harano Aji Mincho},✓,"別名: 原ノ味明朝, Harano Aji Mincho SemiBold, 原ノ味明朝 SemiBold",C:/WINDOWS/fonts/HaranoAjiMincho-SemiBold.otf
HGMinchoB Bold,HGMinchoB,Bold,TrueType Collection (TTC),セリフ体（Serif）,明朝体,Light（細）,HGMinchoB,\setmainjfont{HGMinchoB},✓,TTC（コレクション） / 別名: HG明朝B,C:/WINDOWS/fonts/HGRMB.TTC
HGMinchoE,HGMinchoE,Regular,TrueType Collection (TTC),セリフ体（Serif）,明朝体,Light（細）,HGMinchoE,\setmainjfont{HGMinchoE},✓,TTC（コレクション） / 別名: HG明朝E,C:/WINDOWS/fonts/HGRME.TTC
HGPMinchoB Bold,HGPMinchoB,Bold,TrueType Collection (TTC),セリフ体（Serif）,明朝体,Light（細）,HGPMinchoB,\setmainjfont{HGPMinchoB},✓,TTC（コレクション） / 別名: HGP明朝B,C:/WINDOWS/fonts/HGRMB.TTC
HGPMinchoE,HGPMinchoE,Regular,TrueType Collection (TTC),セリフ体（Serif）,明朝体,Light（細）,HGPMinchoE,\setmainjfont{HGPMinchoE},✓,TTC（コレクション） / 別名: HGP明朝E,C:/WINDOWS/fonts/HGRME.TTC
HGSMinchoB Bold,HGSMinchoB,Bold,TrueType Collection (TTC),セリフ体（Serif）,明朝体,Light（細）,HGSMinchoB,\setmainjfont{HGSMinchoB},✓,TTC（コレクション） / 別名: HGS明朝B,C:/WINDOWS/fonts/HGRMB.TTC
HGSMinchoE,HGSMinchoE,Regular,TrueType Collection (TTC),セリフ体（Serif）,明朝体,Light（細）,HGSMinchoE,\setmainjfont{HGSMinchoE},✓,TTC（コレクション） / 別名: HGS明朝E,C:/WINDOWS/fonts/HGRME.TTC
Hina Mincho,Hina Mincho,Regular,TrueType (TTF),セリフ体（Serif）,明朝体,Light（細）,Hina Mincho,\setmainjfont{Hina Mincho},✓,,C:/WINDOWS/fonts/HinaMincho-Regular.ttf
Honoka Shin Mincho Light,Honoka Shin Mincho,Light,OpenType (OTF),セリフ体（Serif）,明朝体,ExtraLight（超細）,Honoka Shin Mincho,\setmainjfont{Honoka Shin Mincho},✓,"別名: ほのか新明朝, ほのか新明朝 Light, ______ Light",C:/WINDOWS/fonts/Honoka_Shin_Mincho_L.otf
IPAexMincho,IPAexMincho,Regular,TrueType (TTF),セリフ体（Serif）,明朝体,Light（細）,IPAexMincho,\setmainjfont{IPAexMincho},✓,別名: IPAex明朝,C:/texlive/2026/texmf-dist/fonts/truetype/public/ipaex/ipaexm.ttf
IPAexMincho,IPAexMincho,Regular,TrueType (TTF),セリフ体（Serif）,明朝体,Light（細）,IPAexMincho,\setmainjfont{IPAexMincho},✓,別名: IPAex明朝,C:/WINDOWS/fonts/ipaexm.ttf
IPAMincho,IPAMincho,Regular,TrueType (TTF),セリフ体（Serif）,明朝体,Light（細）,IPAMincho,\setmainjfont{IPAMincho},✓,別名: IPA明朝,C:/WINDOWS/fonts/ipam.ttf
IPAMincho,IPAMincho,Regular,TrueType Collection (TTC),セリフ体（Serif）,明朝体,Light（細）,IPAMincho,\setmainjfont{IPAMincho},✓,TTC（コレクション） / 別名: IPA明朝,C:/WINDOWS/fonts/ipam.ttc
IPAMincho,IPAMincho,Regular,TrueType (TTF),セリフ体（Serif）,明朝体,Light（細）,IPAMincho,\setmainjfont{IPAMincho},✓,別名: IPA明朝,C:/texlive/2026/texmf-dist/fonts/truetype/public/ipaex/ipam.ttf
IPAmjMincho,IPAmjMincho,Regular,TrueType (TTF),セリフ体（Serif）,明朝体,Light（細）,IPAmjMincho,\setmainjfont{IPAmjMincho},✓,別名: IPAmj明朝,C:/WINDOWS/fonts/ipamjm.ttf
IPAPMincho,IPAPMincho,Regular,TrueType (TTF),セリフ体（Serif）,明朝体,Light（細）,IPAPMincho,\setmainjfont{IPAPMincho},✓,"別名: IPA P明朝, 䥐䅐䵩湣桯",C:/WINDOWS/fonts/ipamp.ttf
IPAPMincho,IPAPMincho,Regular,TrueType Collection (TTC),セリフ体（Serif）,明朝体,Light（細）,IPAPMincho,\setmainjfont{IPAPMincho},✓,"TTC（コレクション） / 別名: IPA P明朝, 䥐䅐䵩湣桯",C:/WINDOWS/fonts/ipam.ttc
IPAPMincho,IPAPMincho,Regular,TrueType (TTF),セリフ体（Serif）,明朝体,Light（細）,IPAPMincho,\setmainjfont{IPAPMincho},✓,"別名: IPA P明朝, 䥐䅐䵩湣桯",C:/texlive/2026/texmf-dist/fonts/truetype/public/ipaex/ipamp.ttf
MS Mincho,MS Mincho,Regular,TrueType Collection (TTC),セリフ体（Serif）,明朝体,Light（細）,MS Mincho,\setmainjfont{MS Mincho},✓,TTC（コレクション） / 別名: ＭＳ 明朝,C:/WINDOWS/fonts/msmincho.ttc
MS PMincho,MS PMincho,Regular,TrueType Collection (TTC),セリフ体（Serif）,明朝体,Light（細）,MS PMincho,\setmainjfont{MS PMincho},✓,TTC（コレクション） / 別名: ＭＳ Ｐ明朝,C:/WINDOWS/fonts/msmincho.ttc
Satsuki Gendai Mincho Medium,Satsuki Gendai Mincho,Medium,TrueType (TTF),セリフ体（Serif）,明朝体,Book（ブック）,Satsuki Gendai Mincho,\setmainjfont{Satsuki Gendai Mincho},✓,別名: さつき源代明朝,C:/WINDOWS/fonts/SatsukiGendaiMincho-M.ttf
Shippori Mincho Bold,Shippori Mincho,Bold,TrueType (TTF),セリフ体（Serif）,明朝体,Black（極太）,Shippori Mincho,\setmainjfont{Shippori Mincho},✓,,C:/WINDOWS/fonts/ShipporiMincho-Bold.ttf
Shippori Mincho ExtraBold,Shippori Mincho,ExtraBold,TrueType (TTF),セリフ体（Serif）,明朝体,Black（極太）,Shippori Mincho,\setmainjfont{Shippori Mincho},✓,別名: Shippori Mincho ExtraBold,C:/WINDOWS/fonts/ShipporiMincho-ExtraBold.ttf
Shippori Mincho Medium,Shippori Mincho,Medium,TrueType (TTF),セリフ体（Serif）,明朝体,Book（ブック）,Shippori Mincho,\setmainjfont{Shippori Mincho},✓,別名: Shippori Mincho Medium,C:/WINDOWS/fonts/ShipporiMincho-Medium.ttf
Shippori Mincho,Shippori Mincho,Regular,TrueType (TTF),セリフ体（Serif）,明朝体,Light（細）,Shippori Mincho,\setmainjfont{Shippori Mincho},✓,,C:/WINDOWS/fonts/ShipporiMincho-Regular.ttf
Shippori Mincho SemiBold,Shippori Mincho,SemiBold,TrueType (TTF),セリフ体（Serif）,明朝体,ExtraBold（超太）,Shippori Mincho,\setmainjfont{Shippori Mincho},✓,別名: Shippori Mincho SemiBold,C:/WINDOWS/fonts/ShipporiMincho-SemiBold.ttf
Shippori Mincho B1 Bold,Shippori Mincho B1,Bold,TrueType (TTF),セリフ体（Serif）,明朝体,Black（極太）,Shippori Mincho B1,\setmainjfont{Shippori Mincho B1},✓,,C:/WINDOWS/fonts/ShipporiMinchoB1-Bold.ttf
Shippori Mincho B1 ExtraBold,Shippori Mincho B1,ExtraBold,TrueType (TTF),セリフ体（Serif）,明朝体,Black（極太）,Shippori Mincho B1,\setmainjfont{Shippori Mincho B1},✓,別名: Shippori Mincho B1 ExtraBold,C:/WINDOWS/fonts/ShipporiMinchoB1-ExtraBold.ttf
Shippori Mincho B1 Medium,Shippori Mincho B1,Medium,TrueType (TTF),セリフ体（Serif）,明朝体,Book（ブック）,Shippori Mincho B1,\setmainjfont{Shippori Mincho B1},✓,別名: Shippori Mincho B1 Medium,C:/WINDOWS/fonts/ShipporiMinchoB1-Medium.ttf
Shippori Mincho B1,Shippori Mincho B1,Regular,TrueType (TTF),セリフ体（Serif）,明朝体,Light（細）,Shippori Mincho B1,\setmainjfont{Shippori Mincho B1},✓,,C:/WINDOWS/fonts/ShipporiMinchoB1-Regular.ttf
Shippori Mincho B1 SemiBold,Shippori Mincho B1,SemiBold,TrueType (TTF),セリフ体（Serif）,明朝体,ExtraBold（超太）,Shippori Mincho B1,\setmainjfont{Shippori Mincho B1},✓,別名: Shippori Mincho B1 SemiBold,C:/WINDOWS/fonts/ShipporiMinchoB1-SemiBold.ttf
Source Han Serif Bold,Source Han Serif,Bold,OpenType (OTF),セリフ体（Serif）,明朝体,Black（極太）,Source Han Serif,\setmainjfont{Source Han Serif},✓,別名: 源ノ明朝,C:/WINDOWS/fonts/SourceHanSerif-Bold.otf
Source Han Serif ExtraLight,Source Han Serif,ExtraLight,OpenType (OTF),セリフ体（Serif）,明朝体,Thin（極細）,Source Han Serif,\setmainjfont{Source Han Serif},✓,"別名: 源ノ明朝, Source Han Serif ExtraLight, 源ノ明朝 ExtraLight",C:/WINDOWS/fonts/SourceHanSerif-ExtraLight.otf
Source Han Serif Heavy,Source Han Serif,Heavy,OpenType (OTF),セリフ体（Serif）,明朝体,Black（極太）,Source Han Serif,\setmainjfont{Source Han Serif},✓,"別名: 源ノ明朝, Source Han Serif Heavy, 源ノ明朝 Heavy",C:/WINDOWS/fonts/SourceHanSerif-Heavy.otf
Source Han Serif Light,Source Han Serif,Light,OpenType (OTF),セリフ体（Serif）,明朝体,ExtraLight（超細）,Source Han Serif,\setmainjfont{Source Han Serif},✓,"別名: 源ノ明朝, Source Han Serif Light, 源ノ明朝 Light",C:/WINDOWS/fonts/SourceHanSerif-Light.otf
Source Han Serif Medium,Source Han Serif,Medium,OpenType (OTF),セリフ体（Serif）,明朝体,Book（ブック）,Source Han Serif,\setmainjfont{Source Han Serif},✓,"別名: 源ノ明朝, Source Han Serif Medium, 源ノ明朝 Medium",C:/WINDOWS/fonts/SourceHanSerif-Medium.otf
Source Han Serif,Source Han Serif,Regular,OpenType (OTF),セリフ体（Serif）,明朝体,Light（細）,Source Han Serif,\setmainjfont{Source Han Serif},✓,別名: 源ノ明朝,C:/WINDOWS/fonts/SourceHanSerif-Regular.otf
Source Han Serif SemiBold,Source Han Serif,SemiBold,OpenType (OTF),セリフ体（Serif）,明朝体,ExtraBold（超太）,Source Han Serif,\setmainjfont{Source Han Serif},✓,"別名: 源ノ明朝, Source Han Serif SemiBold, 源ノ明朝 SemiBold",C:/WINDOWS/fonts/SourceHanSerif-SemiBold.otf
Source Han Serif CN Bold,Source Han Serif CN,Bold,OpenType (OTF),セリフ体（Serif）,明朝体,Black（極太）,Source Han Serif CN,\setmainjfont{Source Han Serif CN},✓,別名: 思源宋体 CN,C:/WINDOWS/fonts/SourceHanSerifCN-Bold.otf
Source Han Serif CN ExtraLight,Source Han Serif CN,ExtraLight,OpenType (OTF),セリフ体（Serif）,明朝体,Thin（極細）,Source Han Serif CN,\setmainjfont{Source Han Serif CN},✓,"別名: 思源宋体 CN, Source Han Serif CN ExtraLight, 思源宋体 CN ExtraLight",C:/WINDOWS/fonts/SourceHanSerifCN-ExtraLight.otf
Source Han Serif CN Heavy,Source Han Serif CN,Heavy,OpenType (OTF),セリフ体（Serif）,明朝体,Black（極太）,Source Han Serif CN,\setmainjfont{Source Han Serif CN},✓,"別名: 思源宋体 CN, Source Han Serif CN Heavy, 思源宋体 CN Heavy",C:/WINDOWS/fonts/SourceHanSerifCN-Heavy.otf
Source Han Serif CN Light,Source Han Serif CN,Light,OpenType (OTF),セリフ体（Serif）,明朝体,ExtraLight（超細）,Source Han Serif CN,\setmainjfont{Source Han Serif CN},✓,"別名: 思源宋体 CN, Source Han Serif CN Light, 思源宋体 CN Light",C:/WINDOWS/fonts/SourceHanSerifCN-Light.otf
Source Han Serif CN Medium,Source Han Serif CN,Medium,OpenType (OTF),セリフ体（Serif）,明朝体,Book（ブック）,Source Han Serif CN,\setmainjfont{Source Han Serif CN},✓,"別名: 思源宋体 CN, Source Han Serif CN Medium, 思源宋体 CN Medium",C:/WINDOWS/fonts/SourceHanSerifCN-Medium.otf
Source Han Serif CN,Source Han Serif CN,Regular,OpenType (OTF),セリフ体（Serif）,明朝体,Light（細）,Source Han Serif CN,\setmainjfont{Source Han Serif CN},✓,別名: 思源宋体 CN,C:/WINDOWS/fonts/SourceHanSerifCN-Regular.otf
Source Han Serif CN SemiBold,Source Han Serif CN,SemiBold,OpenType (OTF),セリフ体（Serif）,明朝体,ExtraBold（超太）,Source Han Serif CN,\setmainjfont{Source Han Serif CN},✓,"別名: 思源宋体 CN, Source Han Serif CN SemiBold, 思源宋体 CN SemiBold",C:/WINDOWS/fonts/SourceHanSerifCN-SemiBold.otf
Source Han Serif JP Bold,Source Han Serif JP,Bold,OpenType (OTF),セリフ体（Serif）,明朝体,Black（極太）,Source Han Serif JP,\setmainjfont{Source Han Serif JP},✓,別名: 源ノ明朝 JP,C:/WINDOWS/fonts/SourceHanSerifJP-Bold.otf
Source Han Serif JP ExtraLight,Source Han Serif JP,ExtraLight,OpenType (OTF),セリフ体（Serif）,明朝体,Thin（極細）,Source Han Serif JP,\setmainjfont{Source Han Serif JP},✓,"別名: 源ノ明朝 JP, Source Han Serif JP ExtraLight, 源ノ明朝 JP ExtraLight",C:/WINDOWS/fonts/SourceHanSerifJP-ExtraLight.otf
Source Han Serif JP Heavy,Source Han Serif JP,Heavy,OpenType (OTF),セリフ体（Serif）,明朝体,Black（極太）,Source Han Serif JP,\setmainjfont{Source Han Serif JP},✓,"別名: 源ノ明朝 JP, Source Han Serif JP Heavy, 源ノ明朝 JP Heavy",C:/WINDOWS/fonts/SourceHanSerifJP-Heavy.otf
Source Han Serif JP Light,Source Han Serif JP,Light,OpenType (OTF),セリフ体（Serif）,明朝体,ExtraLight（超細）,Source Han Serif JP,\setmainjfont{Source Han Serif JP},✓,"別名: 源ノ明朝 JP, Source Han Serif JP Light, 源ノ明朝 JP Light",C:/WINDOWS/fonts/SourceHanSerifJP-Light.otf
Source Han Serif JP Medium,Source Han Serif JP,Medium,OpenType (OTF),セリフ体（Serif）,明朝体,Book（ブック）,Source Han Serif JP,\setmainjfont{Source Han Serif JP},✓,"別名: 源ノ明朝 JP, Source Han Serif JP Medium, 源ノ明朝 JP Medium",C:/WINDOWS/fonts/SourceHanSerifJP-Medium.otf
Source Han Serif JP,Source Han Serif JP,Regular,OpenType (OTF),セリフ体（Serif）,明朝体,Light（細）,Source Han Serif JP,\setmainjfont{Source Han Serif JP},✓,別名: 源ノ明朝 JP,C:/WINDOWS/fonts/SourceHanSerifJP-Regular.otf
Source Han Serif JP SemiBold,Source Han Serif JP,SemiBold,OpenType (OTF),セリフ体（Serif）,明朝体,ExtraBold（超太）,Source Han Serif JP,\setmainjfont{Source Han Serif JP},✓,"別名: 源ノ明朝 JP, Source Han Serif JP SemiBold, 源ノ明朝 JP SemiBold",C:/WINDOWS/fonts/SourceHanSerifJP-SemiBold.otf
Source Han Serif K Bold,Source Han Serif K,Bold,OpenType (OTF),セリフ体（Serif）,明朝体,Black（極太）,Source Han Serif K,\setmainjfont{Source Han Serif K},✓,別名: 본명조,C:/WINDOWS/fonts/SourceHanSerifK-Bold.otf
Source Han Serif K ExtraLight,Source Han Serif K,ExtraLight,OpenType (OTF),セリフ体（Serif）,明朝体,Thin（極細）,Source Han Serif K,\setmainjfont{Source Han Serif K},✓,"別名: 본명조, Source Han Serif K ExtraLight, 본명조 ExtraLight",C:/WINDOWS/fonts/SourceHanSerifK-ExtraLight.otf
Source Han Serif K Heavy,Source Han Serif K,Heavy,OpenType (OTF),セリフ体（Serif）,明朝体,Black（極太）,Source Han Serif K,\setmainjfont{Source Han Serif K},✓,"別名: 본명조, Source Han Serif K Heavy, 본명조 Heavy",C:/WINDOWS/fonts/SourceHanSerifK-Heavy.otf
Source Han Serif K Light,Source Han Serif K,Light,OpenType (OTF),セリフ体（Serif）,明朝体,ExtraLight（超細）,Source Han Serif K,\setmainjfont{Source Han Serif K},✓,"別名: 본명조, Source Han Serif K Light, 본명조 Light",C:/WINDOWS/fonts/SourceHanSerifK-Light.otf
Source Han Serif K Medium,Source Han Serif K,Medium,OpenType (OTF),セリフ体（Serif）,明朝体,Book（ブック）,Source Han Serif K,\setmainjfont{Source Han Serif K},✓,"別名: 본명조, Source Han Serif K Medium, 본명조 Medium",C:/WINDOWS/fonts/SourceHanSerifK-Medium.otf
Source Han Serif K,Source Han Serif K,Regular,OpenType (OTF),セリフ体（Serif）,明朝体,Light（細）,Source Han Serif K,\setmainjfont{Source Han Serif K},✓,別名: 본명조,C:/WINDOWS/fonts/SourceHanSerifK-Regular.otf
Source Han Serif K SemiBold,Source Han Serif K,SemiBold,OpenType (OTF),セリフ体（Serif）,明朝体,ExtraBold（超太）,Source Han Serif K,\setmainjfont{Source Han Serif K},✓,"別名: 본명조, Source Han Serif K SemiBold, 본명조 SemiBold",C:/WINDOWS/fonts/SourceHanSerifK-SemiBold.otf
Source Han Serif KR Bold,Source Han Serif KR,Bold,OpenType (OTF),セリフ体（Serif）,明朝体,Black（極太）,Source Han Serif KR,\setmainjfont{Source Han Serif KR},✓,別名: 본명조 KR,C:/WINDOWS/fonts/SourceHanSerifKR-Bold.otf
Source Han Serif KR ExtraLight,Source Han Serif KR,ExtraLight,OpenType (OTF),セリフ体（Serif）,明朝体,Thin（極細）,Source Han Serif KR,\setmainjfont{Source Han Serif KR},✓,"別名: 본명조 KR, Source Han Serif KR ExtraLight, 본명조 KR ExtraLight",C:/WINDOWS/fonts/SourceHanSerifKR-ExtraLight.otf
Source Han Serif KR Heavy,Source Han Serif KR,Heavy,OpenType (OTF),セリフ体（Serif）,明朝体,Black（極太）,Source Han Serif KR,\setmainjfont{Source Han Serif KR},✓,"別名: 본명조 KR, Source Han Serif KR Heavy, 본명조 KR Heavy",C:/WINDOWS/fonts/SourceHanSerifKR-Heavy.otf
Source Han Serif KR Light,Source Han Serif KR,Light,OpenType (OTF),セリフ体（Serif）,明朝体,ExtraLight（超細）,Source Han Serif KR,\setmainjfont{Source Han Serif KR},✓,"別名: 본명조 KR, Source Han Serif KR Light, 본명조 KR Light",C:/WINDOWS/fonts/SourceHanSerifKR-Light.otf
Source Han Serif KR Medium,Source Han Serif KR,Medium,OpenType (OTF),セリフ体（Serif）,明朝体,Book（ブック）,Source Han Serif KR,\setmainjfont{Source Han Serif KR},✓,"別名: 본명조 KR, Source Han Serif KR Medium, 본명조 KR Medium",C:/WINDOWS/fonts/SourceHanSerifKR-Medium.otf
Source Han Serif KR,Source Han Serif KR,Regular,OpenType (OTF),セリフ体（Serif）,明朝体,Light（細）,Source Han Serif KR,\setmainjfont{Source Han Serif KR},✓,別名: 본명조 KR,C:/WINDOWS/fonts/SourceHanSerifKR-Regular.otf
Source Han Serif KR SemiBold,Source Han Serif KR,SemiBold,OpenType (OTF),セリフ体（Serif）,明朝体,ExtraBold（超太）,Source Han Serif KR,\setmainjfont{Source Han Serif KR},✓,"別名: 본명조 KR, Source Han Serif KR SemiBold, 본명조 KR SemiBold",C:/WINDOWS/fonts/SourceHanSerifKR-SemiBold.otf
Source Han Serif SC Bold,Source Han Serif SC,Bold,OpenType (OTF),セリフ体（Serif）,明朝体,Black（極太）,Source Han Serif SC,\setmainjfont{Source Han Serif SC},✓,別名: 思源宋体,C:/WINDOWS/fonts/SourceHanSerifSC-Bold.otf
Source Han Serif SC ExtraLight,Source Han Serif SC,ExtraLight,OpenType (OTF),セリフ体（Serif）,明朝体,Thin（極細）,Source Han Serif SC,\setmainjfont{Source Han Serif SC},✓,"別名: 思源宋体, Source Han Serif SC ExtraLight, 思源宋体 ExtraLight",C:/WINDOWS/fonts/SourceHanSerifSC-ExtraLight.otf
Source Han Serif SC Heavy,Source Han Serif SC,Heavy,OpenType (OTF),セリフ体（Serif）,明朝体,Black（極太）,Source Han Serif SC,\setmainjfont{Source Han Serif SC},✓,"別名: 思源宋体, Source Han Serif SC Heavy, 思源宋体 Heavy",C:/WINDOWS/fonts/SourceHanSerifSC-Heavy.otf
Source Han Serif SC Light,Source Han Serif SC,Light,OpenType (OTF),セリフ体（Serif）,明朝体,ExtraLight（超細）,Source Han Serif SC,\setmainjfont{Source Han Serif SC},✓,"別名: 思源宋体, Source Han Serif SC Light, 思源宋体 Light",C:/WINDOWS/fonts/SourceHanSerifSC-Light.otf
Source Han Serif SC Medium,Source Han Serif SC,Medium,OpenType (OTF),セリフ体（Serif）,明朝体,Book（ブック）,Source Han Serif SC,\setmainjfont{Source Han Serif SC},✓,"別名: 思源宋体, Source Han Serif SC Medium, 思源宋体 Medium",C:/WINDOWS/fonts/SourceHanSerifSC-Medium.otf
